This job can be monitored from: https://job.c3se.chalmers.se/alvis/6415190
============================================================
Run started: 2026-04-15 15:54:01
Log file:    /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/32_condchannels/training.log
============================================================
Using device: cuda
Train=425, Val=75, Test=100
Loaded DVF stats: mean=-3.174312, std=10.820530
Resumed from epoch 5 | Best val loss: 0.7812
Epoch 006/600 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.47608 MSE=0.39253 Smooth=0.08355] | Val   [Total=0.57317 MSE=0.37524 Smooth=0.19793] *** BEST ***
Epoch 007/600 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.33364 MSE=0.29342 Smooth=0.04022] | Val   [Total=0.40865 MSE=0.29644 Smooth=0.11221] *** BEST ***
Epoch 008/600 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.26130 MSE=0.23646 Smooth=0.02483] | Val   [Total=0.31596 MSE=0.24961 Smooth=0.06635] *** BEST ***
Epoch 009/600 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.19530 MSE=0.17851 Smooth=0.01679] | Val   [Total=0.26348 MSE=0.21870 Smooth=0.04478] *** BEST ***
Epoch 010/600 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.16874 MSE=0.15828 Smooth=0.01046] | Val   [Total=0.23342 MSE=0.19913 Smooth=0.03429] *** BEST ***
Epoch 011/600 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.16625 MSE=0.15737 Smooth=0.00888] | Val   [Total=0.21241 MSE=0.18371 Smooth=0.02871] *** BEST ***
Epoch 012/600 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.14205 MSE=0.13584 Smooth=0.00621] | Val   [Total=0.19744 MSE=0.17449 Smooth=0.02295] *** BEST ***
Epoch 013/600 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.14623 MSE=0.14080 Smooth=0.00543] | Val   [Total=0.18808 MSE=0.16616 Smooth=0.02192] *** BEST ***
Epoch 014/600 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.12306 MSE=0.11647 Smooth=0.00660] | Val   [Total=0.17876 MSE=0.16148 Smooth=0.01727] *** BEST ***
Epoch 015/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.13628 MSE=0.13212 Smooth=0.00417] | Val   [Total=0.16610 MSE=0.15093 Smooth=0.01517] *** BEST ***
Epoch 016/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.10026 MSE=0.09567 Smooth=0.00459] | Val   [Total=0.16016 MSE=0.14680 Smooth=0.01336] *** BEST ***
Epoch 017/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.10410 MSE=0.10107 Smooth=0.00303] | Val   [Total=0.15491 MSE=0.14210 Smooth=0.01281] *** BEST ***
Epoch 018/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.12504 MSE=0.12128 Smooth=0.00376] | Val   [Total=0.15127 MSE=0.13872 Smooth=0.01255] *** BEST ***
Epoch 019/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.09311 MSE=0.08955 Smooth=0.00356] | Val   [Total=0.14721 MSE=0.13545 Smooth=0.01176] *** BEST ***
Epoch 020/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.08183 MSE=0.07869 Smooth=0.00313] | Val   [Total=0.14256 MSE=0.13215 Smooth=0.01040] *** BEST ***
Epoch 021/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.10399 MSE=0.10143 Smooth=0.00256] | Val   [Total=0.13985 MSE=0.12946 Smooth=0.01040] *** BEST ***
Epoch 022/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.08899 MSE=0.08660 Smooth=0.00239] | Val   [Total=0.14082 MSE=0.13029 Smooth=0.01053]
Epoch 023/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.08899 MSE=0.08595 Smooth=0.00305] | Val   [Total=0.13714 MSE=0.12639 Smooth=0.01076] *** BEST ***
Epoch 024/600 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.08563 MSE=0.08246 Smooth=0.00317] | Val   [Total=0.13258 MSE=0.12267 Smooth=0.00991] *** BEST ***
Epoch 025/600 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.07728 MSE=0.07431 Smooth=0.00297] | Val   [Total=0.13136 MSE=0.12150 Smooth=0.00986] *** BEST ***
Epoch 026/600 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.08311 MSE=0.08060 Smooth=0.00251] | Val   [Total=0.12791 MSE=0.11782 Smooth=0.01009] *** BEST ***
