This job can be monitored from: https://job.c3se.chalmers.se/alvis/6337436
============================================================
CFG Fine-tuning — started 2026-04-05 18:36:21
Log: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg/training_cfg.log
Pretrained model: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Saving to:        /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg
CFG drop prob: 0.15  |  Fine-tune epochs: 200  |  LR: 5e-05
============================================================
Device: cuda
Train=425, Val=75
Loaded DVF stats: mean=-3.174312, std=10.820530
Loaded pretrained weights from: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Starting CFG fine-tuning from scratch...
Epoch 001/200 | λ=1.00e-04 | LR=5.00e-05 | Train [Total=0.01046 MSE=0.01019 Smooth=0.00027] | Val   [Total=0.00706 MSE=0.00589 Smooth=0.00117] *** BEST ***
Epoch 002/200 | λ=1.00e-04 | LR=5.00e-05 | Train [Total=0.01434 MSE=0.01407 Smooth=0.00027] | Val   [Total=0.00666 MSE=0.00549 Smooth=0.00117] *** BEST ***
Epoch 003/200 | λ=1.00e-04 | LR=5.00e-05 | Train [Total=0.01455 MSE=0.01429 Smooth=0.00026] | Val   [Total=0.00624 MSE=0.00509 Smooth=0.00115] *** BEST ***
Epoch 004/200 | λ=1.00e-04 | LR=5.00e-05 | Train [Total=0.01496 MSE=0.01466 Smooth=0.00031] | Val   [Total=0.00955 MSE=0.00844 Smooth=0.00111]
Epoch 005/200 | λ=1.00e-04 | LR=4.99e-05 | Train [Total=0.01541 MSE=0.01513 Smooth=0.00028] | Val   [Total=0.00649 MSE=0.00536 Smooth=0.00114]
Epoch 006/200 | λ=1.00e-04 | LR=4.99e-05 | Train [Total=0.01560 MSE=0.01525 Smooth=0.00035] | Val   [Total=0.00670 MSE=0.00558 Smooth=0.00112]
Epoch 007/200 | λ=1.00e-04 | LR=4.99e-05 | Train [Total=0.01555 MSE=0.01524 Smooth=0.00031] | Val   [Total=0.00632 MSE=0.00521 Smooth=0.00111]
Epoch 008/200 | λ=1.00e-04 | LR=4.98e-05 | Train [Total=0.00875 MSE=0.00852 Smooth=0.00023] | Val   [Total=0.00616 MSE=0.00507 Smooth=0.00109] *** BEST ***
Epoch 009/200 | λ=1.00e-04 | LR=4.98e-05 | Train [Total=0.01161 MSE=0.01136 Smooth=0.00025] | Val   [Total=0.00651 MSE=0.00538 Smooth=0.00113]
Epoch 010/200 | λ=1.00e-04 | LR=4.97e-05 | Train [Total=0.01076 MSE=0.01052 Smooth=0.00024] | Val   [Total=0.00667 MSE=0.00559 Smooth=0.00108]
Epoch 011/200 | λ=1.00e-04 | LR=4.96e-05 | Train [Total=0.01406 MSE=0.01378 Smooth=0.00028] | Val   [Total=0.00577 MSE=0.00469 Smooth=0.00108] *** BEST ***
Epoch 012/200 | λ=1.00e-04 | LR=4.96e-05 | Train [Total=0.02006 MSE=0.01985 Smooth=0.00021] | Val   [Total=0.00732 MSE=0.00623 Smooth=0.00109]
Epoch 013/200 | λ=1.00e-04 | LR=4.95e-05 | Train [Total=0.01457 MSE=0.01433 Smooth=0.00023] | Val   [Total=0.00701 MSE=0.00591 Smooth=0.00109]
Epoch 014/200 | λ=1.00e-04 | LR=4.94e-05 | Train [Total=0.01489 MSE=0.01465 Smooth=0.00024] | Val   [Total=0.00690 MSE=0.00583 Smooth=0.00108]
Epoch 015/200 | λ=1.00e-04 | LR=4.93e-05 | Train [Total=0.01453 MSE=0.01423 Smooth=0.00030] | Val   [Total=0.00701 MSE=0.00593 Smooth=0.00108]
Epoch 016/200 | λ=1.00e-04 | LR=4.92e-05 | Train [Total=0.01034 MSE=0.01008 Smooth=0.00026] | Val   [Total=0.00634 MSE=0.00524 Smooth=0.00110]
Epoch 017/200 | λ=1.00e-04 | LR=4.91e-05 | Train [Total=0.00810 MSE=0.00779 Smooth=0.00030] | Val   [Total=0.00796 MSE=0.00689 Smooth=0.00107]
Epoch 018/200 | λ=1.00e-04 | LR=4.90e-05 | Train [Total=0.01492 MSE=0.01460 Smooth=0.00032] | Val   [Total=0.00632 MSE=0.00525 Smooth=0.00107]
Epoch 019/200 | λ=1.00e-04 | LR=4.89e-05 | Train [Total=0.01258 MSE=0.01225 Smooth=0.00033] | Val   [Total=0.00601 MSE=0.00494 Smooth=0.00108]
Epoch 020/200 | λ=1.00e-04 | LR=4.88e-05 | Train [Total=0.01084 MSE=0.01055 Smooth=0.00029] | Val   [Total=0.00596 MSE=0.00490 Smooth=0.00105]
Epoch 021/200 | λ=1.00e-04 | LR=4.87e-05 | Train [Total=0.01401 MSE=0.01367 Smooth=0.00034] | Val   [Total=0.00605 MSE=0.00499 Smooth=0.00106]
Epoch 022/200 | λ=1.00e-04 | LR=4.86e-05 | Train [Total=0.01837 MSE=0.01810 Smooth=0.00027] | Val   [Total=0.00678 MSE=0.00568 Smooth=0.00110]
Epoch 023/200 | λ=1.00e-04 | LR=4.84e-05 | Train [Total=0.01153 MSE=0.01126 Smooth=0.00027] | Val   [Total=0.00628 MSE=0.00522 Smooth=0.00107]
Epoch 024/200 | λ=1.00e-04 | LR=4.83e-05 | Train [Total=0.01506 MSE=0.01476 Smooth=0.00030] | Val   [Total=0.00640 MSE=0.00529 Smooth=0.00112]
Epoch 025/200 | λ=1.00e-04 | LR=4.81e-05 | Train [Total=0.01627 MSE=0.01599 Smooth=0.00028] | Val   [Total=0.00672 MSE=0.00560 Smooth=0.00111]
Epoch 026/200 | λ=1.00e-04 | LR=4.80e-05 | Train [Total=0.01040 MSE=0.01014 Smooth=0.00026] | Val   [Total=0.00775 MSE=0.00670 Smooth=0.00105]
Epoch 027/200 | λ=1.00e-04 | LR=4.78e-05 | Train [Total=0.01430 MSE=0.01402 Smooth=0.00028] | Val   [Total=0.00679 MSE=0.00574 Smooth=0.00105]
Epoch 028/200 | λ=1.00e-04 | LR=4.77e-05 | Train [Total=0.01624 MSE=0.01595 Smooth=0.00029] | Val   [Total=0.00644 MSE=0.00538 Smooth=0.00106]
Epoch 029/200 | λ=1.00e-04 | LR=4.75e-05 | Train [Total=0.01575 MSE=0.01556 Smooth=0.00020] | Val   [Total=0.00806 MSE=0.00699 Smooth=0.00107]
Epoch 030/200 | λ=1.00e-04 | LR=4.73e-05 | Train [Total=0.01166 MSE=0.01139 Smooth=0.00027] | Val   [Total=0.00645 MSE=0.00539 Smooth=0.00106]
Epoch 031/200 | λ=1.00e-04 | LR=4.72e-05 | Train [Total=0.00718 MSE=0.00688 Smooth=0.00030] | Val   [Total=0.00625 MSE=0.00515 Smooth=0.00110]
Epoch 032/200 | λ=1.00e-04 | LR=4.70e-05 | Train [Total=0.01481 MSE=0.01452 Smooth=0.00028] | Val   [Total=0.00610 MSE=0.00505 Smooth=0.00105]
Epoch 033/200 | λ=1.00e-04 | LR=4.68e-05 | Train [Total=0.01372 MSE=0.01343 Smooth=0.00029] | Val   [Total=0.00617 MSE=0.00514 Smooth=0.00103]
Epoch 034/200 | λ=1.00e-04 | LR=4.66e-05 | Train [Total=0.00770 MSE=0.00748 Smooth=0.00022] | Val   [Total=0.00638 MSE=0.00527 Smooth=0.00111]
Epoch 035/200 | λ=1.00e-04 | LR=4.64e-05 | Train [Total=0.01191 MSE=0.01164 Smooth=0.00027] | Val   [Total=0.00888 MSE=0.00777 Smooth=0.00111]
Epoch 036/200 | λ=1.00e-04 | LR=4.62e-05 | Train [Total=0.01088 MSE=0.01061 Smooth=0.00026] | Val   [Total=0.00659 MSE=0.00550 Smooth=0.00109]
Epoch 037/200 | λ=1.00e-04 | LR=4.60e-05 | Train [Total=0.01136 MSE=0.01109 Smooth=0.00027] | Val   [Total=0.00646 MSE=0.00532 Smooth=0.00114]
Epoch 038/200 | λ=1.00e-04 | LR=4.58e-05 | Train [Total=0.01110 MSE=0.01082 Smooth=0.00028] | Val   [Total=0.00621 MSE=0.00516 Smooth=0.00105]
Epoch 039/200 | λ=1.00e-04 | LR=4.55e-05 | Train [Total=0.01082 MSE=0.01049 Smooth=0.00033] | Val   [Total=0.00673 MSE=0.00568 Smooth=0.00105]
Epoch 040/200 | λ=1.00e-04 | LR=4.53e-05 | Train [Total=0.01232 MSE=0.01202 Smooth=0.00030] | Val   [Total=0.00651 MSE=0.00544 Smooth=0.00107]
Epoch 041/200 | λ=1.00e-04 | LR=4.51e-05 | Train [Total=0.00896 MSE=0.00875 Smooth=0.00021] | Val   [Total=0.01301 MSE=0.01193 Smooth=0.00108]
Epoch 042/200 | λ=1.00e-04 | LR=4.49e-05 | Train [Total=0.01505 MSE=0.01482 Smooth=0.00023] | Val   [Total=0.00760 MSE=0.00653 Smooth=0.00107]
