This job can be monitored from: https://job.c3se.chalmers.se/alvis/6316711
============================================================
Run started: 2026-04-03 16:57:43
Log file:    /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/training.log
============================================================
Using device: cuda
Train=425, Val=75, Test=100
Computing global DVF mean/std over training set...
DVF global mean=-3.190084, std=10.835453
No checkpoint found — starting from scratch
Epoch 001/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.74315 MSE=0.61949 Smooth=0.12366] | Val   [Total=0.46578 MSE=0.32304 Smooth=0.14273] *** BEST ***
Epoch 002/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.22634 MSE=0.20612 Smooth=0.02022] | Val   [Total=0.22307 MSE=0.18578 Smooth=0.03729] *** BEST ***
Epoch 003/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.12958 MSE=0.12188 Smooth=0.00770] | Val   [Total=0.17170 MSE=0.15615 Smooth=0.01556] *** BEST ***
Epoch 004/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.11559 MSE=0.11191 Smooth=0.00368] | Val   [Total=0.15239 MSE=0.14049 Smooth=0.01190] *** BEST ***
Epoch 005/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.11200 MSE=0.10980 Smooth=0.00220] | Val   [Total=0.13851 MSE=0.12949 Smooth=0.00902] *** BEST ***
Epoch 006/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.10142 MSE=0.09902 Smooth=0.00240] | Val   [Total=0.13159 MSE=0.12346 Smooth=0.00812] *** BEST ***
Epoch 007/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.06666 MSE=0.06449 Smooth=0.00217] | Val   [Total=0.14427 MSE=0.13575 Smooth=0.00852]
Epoch 008/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.08127 MSE=0.07918 Smooth=0.00208] | Val   [Total=0.13803 MSE=0.12950 Smooth=0.00853]
Epoch 009/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.08650 MSE=0.08492 Smooth=0.00158] | Val   [Total=0.11844 MSE=0.10974 Smooth=0.00870] *** BEST ***
Epoch 010/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.08335 MSE=0.08117 Smooth=0.00218] | Val   [Total=0.11297 MSE=0.10616 Smooth=0.00681] *** BEST ***
Epoch 011/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.06411 MSE=0.06270 Smooth=0.00141] | Val   [Total=0.11418 MSE=0.10710 Smooth=0.00708]
Epoch 012/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.07302 MSE=0.07093 Smooth=0.00209] | Val   [Total=0.10653 MSE=0.10018 Smooth=0.00635] *** BEST ***
Epoch 013/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.06886 MSE=0.06749 Smooth=0.00138] | Val   [Total=0.10376 MSE=0.09686 Smooth=0.00690] *** BEST ***
Epoch 014/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.06613 MSE=0.06443 Smooth=0.00170] | Val   [Total=0.10208 MSE=0.09652 Smooth=0.00556] *** BEST ***
Epoch 015/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.06795 MSE=0.06637 Smooth=0.00158] | Val   [Total=0.09933 MSE=0.09361 Smooth=0.00573] *** BEST ***
Epoch 016/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.06854 MSE=0.06713 Smooth=0.00141] | Val   [Total=0.09916 MSE=0.09401 Smooth=0.00515] *** BEST ***
