============================================================
Run started: 2026-04-03 19:23:27
Log file:    /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/training.log
============================================================
Using device: cuda
Train=425, Val=75, Test=100
Computing global DVF mean/std over training set...
DVF global mean=-3.190084, std=10.835453
No checkpoint found — starting from scratch
Epoch 001/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=1.21032 MSE=0.99360 Smooth=0.21672] | Val   [Total=1.81711 MSE=0.92164 Smooth=0.89547] *** BEST ***
Epoch 002/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=1.05057 MSE=0.85434 Smooth=0.19623] | Val   [Total=1.53805 MSE=0.80023 Smooth=0.73782] *** BEST ***
Epoch 003/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.88054 MSE=0.72589 Smooth=0.15466] | Val   [Total=1.27312 MSE=0.68514 Smooth=0.58798] *** BEST ***
Epoch 004/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.72577 MSE=0.59835 Smooth=0.12742] | Val   [Total=0.99609 MSE=0.56364 Smooth=0.43245] *** BEST ***
Epoch 005/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.58728 MSE=0.49997 Smooth=0.08731] | Val   [Total=0.81798 MSE=0.48585 Smooth=0.33214] *** BEST ***
Epoch 006/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.50281 MSE=0.42690 Smooth=0.07590] | Val   [Total=0.68521 MSE=0.42350 Smooth=0.26171] *** BEST ***
Epoch 007/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.41795 MSE=0.36518 Smooth=0.05276] | Val   [Total=0.57445 MSE=0.37221 Smooth=0.20224] *** BEST ***
Epoch 008/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.35858 MSE=0.31335 Smooth=0.04523] | Val   [Total=0.49496 MSE=0.33494 Smooth=0.16002] *** BEST ***
Epoch 009/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.31627 MSE=0.28120 Smooth=0.03507] | Val   [Total=0.43050 MSE=0.29901 Smooth=0.13148] *** BEST ***
Epoch 010/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.26385 MSE=0.23719 Smooth=0.02666] | Val   [Total=0.38576 MSE=0.27785 Smooth=0.10791] *** BEST ***
Epoch 011/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.25556 MSE=0.23158 Smooth=0.02397] | Val   [Total=0.35084 MSE=0.25584 Smooth=0.09499] *** BEST ***
Epoch 012/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.24894 MSE=0.22916 Smooth=0.01979] | Val   [Total=0.31872 MSE=0.23582 Smooth=0.08290] *** BEST ***
Epoch 013/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.22619 MSE=0.20275 Smooth=0.02344] | Val   [Total=0.29648 MSE=0.22365 Smooth=0.07283] *** BEST ***
Epoch 014/1000 | λ=1.00e-04 | LR=1.00e-04 | Train [Total=0.19834 MSE=0.17627 Smooth=0.02208] | Val   [Total=0.27657 MSE=0.21197 Smooth=0.06460] *** BEST ***
Epoch 015/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.18341 MSE=0.16989 Smooth=0.01352] | Val   [Total=0.26152 MSE=0.20467 Smooth=0.05685] *** BEST ***
Epoch 016/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.18121 MSE=0.16869 Smooth=0.01252] | Val   [Total=0.25104 MSE=0.19994 Smooth=0.05110] *** BEST ***
Epoch 017/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.17962 MSE=0.16457 Smooth=0.01504] | Val   [Total=0.23456 MSE=0.18852 Smooth=0.04604] *** BEST ***
Epoch 018/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.16773 MSE=0.15660 Smooth=0.01113] | Val   [Total=0.22697 MSE=0.18466 Smooth=0.04230] *** BEST ***
Epoch 019/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.17546 MSE=0.16572 Smooth=0.00974] | Val   [Total=0.21962 MSE=0.18169 Smooth=0.03793] *** BEST ***
Epoch 020/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.15013 MSE=0.14045 Smooth=0.00967] | Val   [Total=0.20680 MSE=0.17238 Smooth=0.03442] *** BEST ***
Epoch 021/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.14780 MSE=0.13945 Smooth=0.00835] | Val   [Total=0.19960 MSE=0.16849 Smooth=0.03111] *** BEST ***
Epoch 022/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.12831 MSE=0.11854 Smooth=0.00978] | Val   [Total=0.19020 MSE=0.16312 Smooth=0.02708] *** BEST ***
Epoch 023/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.13276 MSE=0.12575 Smooth=0.00700] | Val   [Total=0.18313 MSE=0.15851 Smooth=0.02462] *** BEST ***
Epoch 024/1000 | λ=1.00e-04 | LR=9.99e-05 | Train [Total=0.12061 MSE=0.11542 Smooth=0.00519] | Val   [Total=0.18202 MSE=0.15868 Smooth=0.02335] *** BEST ***
Epoch 025/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.11586 MSE=0.11164 Smooth=0.00422] | Val   [Total=0.17397 MSE=0.15227 Smooth=0.02169] *** BEST ***
Epoch 026/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.10819 MSE=0.10317 Smooth=0.00502] | Val   [Total=0.16712 MSE=0.14759 Smooth=0.01953] *** BEST ***
Epoch 027/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.11484 MSE=0.11064 Smooth=0.00420] | Val   [Total=0.16264 MSE=0.14493 Smooth=0.01771] *** BEST ***
Epoch 028/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.11600 MSE=0.11126 Smooth=0.00475] | Val   [Total=0.15752 MSE=0.14115 Smooth=0.01637] *** BEST ***
Epoch 029/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.10798 MSE=0.10392 Smooth=0.00406] | Val   [Total=0.15324 MSE=0.13771 Smooth=0.01553] *** BEST ***
Epoch 030/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.09505 MSE=0.09196 Smooth=0.00310] | Val   [Total=0.15104 MSE=0.13632 Smooth=0.01472] *** BEST ***
Epoch 031/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.09764 MSE=0.09460 Smooth=0.00303] | Val   [Total=0.14676 MSE=0.13291 Smooth=0.01385] *** BEST ***
Epoch 032/1000 | λ=1.00e-04 | LR=9.98e-05 | Train [Total=0.07774 MSE=0.07431 Smooth=0.00343] | Val   [Total=0.14368 MSE=0.13076 Smooth=0.01292] *** BEST ***
Epoch 033/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.09699 MSE=0.09328 Smooth=0.00371] | Val   [Total=0.14466 MSE=0.13191 Smooth=0.01274]
Epoch 034/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.10233 MSE=0.09925 Smooth=0.00308] | Val   [Total=0.14041 MSE=0.12777 Smooth=0.01264] *** BEST ***
Epoch 035/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.09710 MSE=0.09427 Smooth=0.00282] | Val   [Total=0.13820 MSE=0.12638 Smooth=0.01182] *** BEST ***
Epoch 036/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.09363 MSE=0.09112 Smooth=0.00251] | Val   [Total=0.13621 MSE=0.12475 Smooth=0.01146] *** BEST ***
Epoch 037/1000 | λ=1.00e-04 | LR=9.97e-05 | Train [Total=0.08850 MSE=0.08604 Smooth=0.00245] | Val   [Total=0.13287 MSE=0.12179 Smooth=0.01108] *** BEST ***
Epoch 038/1000 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.08982 MSE=0.08675 Smooth=0.00307] | Val   [Total=0.13003 MSE=0.11929 Smooth=0.01074] *** BEST ***
Epoch 039/1000 | λ=1.00e-04 | LR=9.96e-05 | Train [Total=0.07391 MSE=0.07127 Smooth=0.00263] | Val   [Total=0.12808 MSE=0.11796 Smooth=0.01012] *** BEST ***
