This job can be monitored from: https://job.c3se.chalmers.se/alvis/6341546
============================================================
Real Data Fine-tuning — started 2026-04-06 13:27:37
Log: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real/finetune_real.log
Pretrained: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Saving to:  /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real
LR=1e-05  WD=0.0001  epochs=150  smooth_lambda=1e-07
Train cases: ['copd01', 'copd02', 'copd03', 'copd04', 'copd05', 'copd06', 'copd07', 'copd08']
Test  cases: ['copd09', 'copd10']  (never used in training)
============================================================
Device: cuda

=== Loading synthetic DVF stats for normalisation ===
  dvf_mean = -3.174312
  dvf_std  = 10.820530

=== Loading training cases ===
  copd01  shape=(3, 128, 128, 64)  mean_mag=9.265 mm  (normalised range [-3.47, 5.11])
  copd02  shape=(3, 128, 128, 64)  mean_mag=5.116 mm  (normalised range [-2.03, 3.82])
  copd03  shape=(3, 128, 128, 64)  mean_mag=3.931 mm  (normalised range [-2.51, 2.35])
  copd04  shape=(3, 128, 128, 64)  mean_mag=10.140 mm  (normalised range [-5.63, 4.88])
  copd05  shape=(3, 128, 128, 64)  mean_mag=11.287 mm  (normalised range [-4.66, 5.33])
  copd06  shape=(3, 128, 128, 64)  mean_mag=7.941 mm  (normalised range [-3.60, 5.03])
  copd07  shape=(3, 128, 128, 64)  mean_mag=6.433 mm  (normalised range [-3.26, 2.71])
  copd08  shape=(3, 128, 128, 64)  mean_mag=8.776 mm  (normalised range [-5.41, 3.40])
Train batches per epoch: 40

Loaded CFG pretrained weights from: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Starting real data fine-tuning from scratch...

 Epoch       Train         MSE      Smooth      Time              
-----------------------------------------------------------------
     1     0.44031     0.44031     5.65607     2.0s *** BEST ***
     2     0.49094     0.49094     2.55858     1.4s
     3     0.20670     0.20670     4.49531     1.4s *** BEST ***
     4     0.22014     0.22014     3.48134     1.4s
     5     0.06371     0.06371     3.41734     1.4s *** BEST ***
     6     0.18333     0.18333     5.86251     1.4s
     7     0.09889     0.09889     2.16502     1.4s
     8     0.14372     0.14372     4.70924     1.4s
     9     0.10733     0.10733     4.54258     1.4s
    10     0.03156     0.03156     3.30773     1.4s *** BEST ***
    11     0.03893     0.03893     4.86434     1.4s
    12     0.03942     0.03942     3.62010     1.4s
    13     0.11266     0.11266     2.54446     1.4s
    14     0.03917     0.03917     2.96560     1.4s
    15     0.08844     0.08844     1.46764     1.4s
    16     0.06638     0.06638     1.80685     1.4s
    17     0.04681     0.04681     3.02377     1.4s
    18     0.04247     0.04247     2.17583     1.4s
    19     0.10459     0.10459     3.67076     1.4s
    20     0.11267     0.11267     5.33255     1.4s
    21     0.10861     0.10861     4.66948     1.4s
    22     0.12315     0.12315     4.40316     1.4s
    23     0.13000     0.13000     6.37821     1.4s
    24     0.06313     0.06313     5.56872     1.4s
    25     0.06630     0.06630     6.77440     1.4s
    26     0.10701     0.10701     4.67802     1.4s
    27     0.05445     0.05445     4.55273     1.4s
    28     0.02310     0.02309     8.78751     1.4s *** BEST ***
    29     0.05015     0.05015     4.70301     1.4s
    30     0.02300     0.02300     3.42662     1.4s *** BEST ***
    31     0.07922     0.07922     7.78441     1.4s
    32     0.01775     0.01775     1.80008     1.4s *** BEST ***
    33     0.02179     0.02179     3.67441     1.4s
    34     0.08337     0.08337     2.87976     1.4s
    35     0.04415     0.04415     4.74251     1.4s
