This job can be monitored from: https://job.c3se.chalmers.se/alvis/6342330
============================================================
Real Data Fine-tuning — started 2026-04-06 16:34:22
Log: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real/finetune_real.log
Pretrained: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg/best_model.pth
Saving to:  /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_real
LR=1e-05  WD=0.0001  epochs=150  smooth_lambda=1e-07
Train cases: ['copd01', 'copd02', 'copd03', 'copd04', 'copd05', 'copd06', 'copd07', 'copd08']
Test  cases: ['copd09', 'copd10']  (never used in training)
============================================================
Device: cuda

=== Loading training cases ===
  copd01  shape=(3, 128, 128, 64)  sample_mean=6.715 mm  sample_std=13.992 mm  normalised range=[-3.39, 3.25]
  copd02  shape=(3, 128, 128, 64)  sample_mean=5.153 mm  sample_std=9.085 mm  normalised range=[-3.33, 3.64]
  copd03  shape=(3, 128, 128, 64)  sample_mean=-0.831 mm  sample_std=7.559 mm  normalised range=[-3.90, 3.06]
  copd04  shape=(3, 128, 128, 64)  sample_mean=-2.785 mm  sample_std=18.562 mm  normalised range=[-3.30, 2.82]
  copd05  shape=(3, 128, 128, 64)  sample_mean=1.828 mm  sample_std=20.139 mm  normalised range=[-2.75, 2.62]
  copd06  shape=(3, 128, 128, 64)  sample_mean=3.215 mm  sample_std=14.541 mm  normalised range=[-3.12, 3.31]
  copd07  shape=(3, 128, 128, 64)  sample_mean=-2.134 mm  sample_std=11.971 mm  normalised range=[-3.03, 2.36]
  copd08  shape=(3, 128, 128, 64)  sample_mean=-1.276 mm  sample_std=15.704 mm  normalised range=[-3.85, 2.23]
Train batches per epoch: 40

Loaded CFG pretrained weights from: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg/best_model.pth
Starting real data fine-tuning from scratch...

 Epoch       Train         MSE      Smooth      Time              
-----------------------------------------------------------------
     1     1.53576     1.53576     0.15963     1.9s *** BEST ***
     2     0.67804     0.67804     0.32615     1.4s *** BEST ***
     3     0.45835     0.45835     1.20166     1.4s *** BEST ***
     4     0.16244     0.16244     0.17635     1.4s *** BEST ***
     5     0.09512     0.09512     0.33480     1.4s *** BEST ***
     6     0.08371     0.08371     0.44171     1.4s *** BEST ***
