This job can be monitored from: https://job.c3se.chalmers.se/alvis/6342500
============================================================
Real Data Fine-tuning — 2026-04-06 17:11:18
LR=1e-05  WD=0.0001  epochs=150  smooth_lambda=1e-07
Train: ['copd01', 'copd02', 'copd03', 'copd04', 'copd05', 'copd06', 'copd07', 'copd08']
Test:  ['copd09', 'copd10']
============================================================
Device: cuda
Real DVF stats (motion voxels): mean=1.2394 mm, std=15.0029 mm

=== Loading training cases ===
  copd01  shape=(3, 128, 128, 64)  mean_mag=9.265 mm  normalised range=[-2.80, 3.39]
  copd02  shape=(3, 128, 128, 64)  mean_mag=5.116 mm  normalised range=[-1.76, 2.46]
  copd03  shape=(3, 128, 128, 64)  mean_mag=3.931 mm  normalised range=[-2.10, 1.40]
  copd04  shape=(3, 128, 128, 64)  mean_mag=10.140 mm  normalised range=[-4.35, 3.23]
  copd05  shape=(3, 128, 128, 64)  mean_mag=11.287 mm  normalised range=[-3.66, 3.55]
  copd06  shape=(3, 128, 128, 64)  mean_mag=7.941 mm  normalised range=[-2.89, 3.34]
  copd07  shape=(3, 128, 128, 64)  mean_mag=6.433 mm  normalised range=[-2.65, 1.66]
  copd08  shape=(3, 128, 128, 64)  mean_mag=8.776 mm  normalised range=[-4.20, 2.16]
Train batches per epoch: 40
Loaded pretrained: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth

 Epoch       Train         MSE      Smooth      Time
-------------------------------------------------------
     1     0.38343     0.38343     5.85671     1.9s *** BEST ***
     2     0.13213     0.13213     8.08176     1.4s *** BEST ***
     3     0.42304     0.42304     2.94710     1.4s
     4     0.12617     0.12617     1.88602     1.4s *** BEST ***
     5     0.08280     0.08280     5.89250     1.4s *** BEST ***
     6     0.05476     0.05476     4.27975     1.4s *** BEST ***
     7     0.05255     0.05255     3.69364     1.4s *** BEST ***
     8     0.14263     0.14263     2.01447     1.4s
     9     0.14658     0.14658     2.01204     1.4s
    10     0.13792     0.13792     2.63083     1.4s
    11     0.02287     0.02287     2.00047     1.4s *** BEST ***
    12     0.10818     0.10818     8.09262     1.4s
    13     0.09309     0.09309     1.19139     1.4s
    14     0.13228     0.13228     3.17192     1.4s
    15     0.10351     0.10351     2.36909     1.4s
    16     0.04878     0.04878     2.94298     1.4s
    17     0.08971     0.08971     3.51182     1.4s
    18     0.14101     0.14101     2.62386     1.4s
    19     0.05021     0.05021     3.69243     1.4s
    20     0.05664     0.05664     7.19944     1.4s
    21     0.05990     0.05990     1.43061     1.4s
    22     0.07299     0.07299     5.63579     1.4s
    23     0.07879     0.07878     7.67965     1.4s
    24     0.03238     0.03238     2.48247     1.4s
    25     0.04686     0.04686     2.68977     1.4s
    26     0.01951     0.01951     3.51001     1.4s *** BEST ***
    27     0.09619     0.09619     2.04090     1.4s
    28     0.04361     0.04361     3.51989     1.4s
    29     0.06477     0.06477     1.87889     1.4s
    30     0.05621     0.05621     4.83836     1.4s
    31     0.09597     0.09597     1.30598     1.4s
    32     0.02880     0.02880     1.48782     1.4s
    33     0.04370     0.04370     5.15197     1.4s
    34     0.01033     0.01033     1.92400     1.4s *** BEST ***
    35     0.02065     0.02065     4.34540     1.4s
    36     0.02506     0.02506     4.16516     1.4s
    37     0.04870     0.04870     2.83405     1.4s
    38     0.05364     0.05364     3.74496     1.4s
    39     0.03426     0.03426     4.87630     1.4s
    40     0.00749     0.00749     2.11982     1.4s *** BEST ***
    41     0.08101     0.08101     3.03772     1.4s
    42     0.08390     0.08390     0.83327     1.4s
    43     0.02196     0.02196     2.50183     1.4s
    44     0.01230     0.01230     2.88594     1.4s
    45     0.00855     0.00855     6.11130     1.4s
    46     0.03486     0.03486     3.81317     1.4s
    47     0.01521     0.01521     2.16291     1.4s
    48     0.05504     0.05504     0.62480     1.4s
    49     0.03366     0.03366     3.30736     1.4s
    50     0.05430     0.05430     5.88849     1.4s
    51     0.01660     0.01660     6.52834     1.4s
    52     0.03664     0.03664     2.98778     1.4s
    53     0.04180     0.04180     3.23676     1.4s
    54     0.04433     0.04433     5.23352     1.4s
    55     0.02152     0.02152     3.33907     1.4s
    56     0.03085     0.03084     3.98559     1.4s
    57     0.08038     0.08038     5.11093     1.4s
    58     0.03340     0.03340     3.04931     1.4s
    59     0.01792     0.01792     2.65705     1.4s
    60     0.03010     0.03010     1.95469     1.4s
    61     0.01059     0.01059     3.11326     1.4s
    62     0.03355     0.03355     5.73381     1.4s
    63     0.03015     0.03015     3.64192     1.4s
    64     0.01909     0.01909     2.89981     1.4s
    65     0.00747     0.00747     3.98858     1.4s *** BEST ***
    66     0.02559     0.02559     4.48911     1.4s
    67     0.04916     0.04916     0.83127     1.4s
    68     0.04766     0.04766     2.17648     1.4s
    69     0.00549     0.00549     8.94207     1.4s *** BEST ***
    70     0.03784     0.03784     3.75886     1.4s
    71     0.06540     0.06540     7.39949     1.4s
    72     0.01094     0.01094     2.49355     1.4s
    73     0.01588     0.01588     6.21875     1.4s
    74     0.03341     0.03341     4.36980     1.4s
    75     0.01930     0.01930     2.97975     1.4s
    76     0.04017     0.04017     3.86470     1.4s
    77     0.02939     0.02939     3.44043     1.4s
    78     0.02548     0.02548     5.93961     1.4s
    79     0.04857     0.04857     4.16955     1.4s
    80     0.01221     0.01221     0.93470     1.4s
    81     0.01734     0.01734     5.66400     1.4s
    82     0.01377     0.01377     3.88365     1.4s
    83     0.01034     0.01034     5.45454     1.4s
    84     0.00449     0.00449     4.84237     1.4s *** BEST ***
    85     0.02079     0.02079     2.19276     1.4s
    86     0.02865     0.02865     1.76240     1.4s
    87     0.01878     0.01878     6.99161     1.4s
    88     0.01375     0.01375     5.63782     1.4s
    89     0.04971     0.04971     2.05202     1.4s
    90     0.02682     0.02681     4.34163     1.4s
    91     0.05527     0.05527     1.65182     1.4s
    92     0.01863     0.01863     2.12169     1.4s
    93     0.01677     0.01677     3.07750     1.4s
    94     0.01500     0.01500     2.77762     1.4s
    95     0.02671     0.02671     4.46610     1.4s
    96     0.00887     0.00887     2.53563     1.4s
    97     0.03863     0.03863     4.36098     1.4s
    98     0.02204     0.02204     2.63939     1.4s
    99     0.01001     0.01001     1.29395     1.4s
   100     0.02367     0.02367     3.45573     1.4s
   101     0.00401     0.00401     6.50352     1.4s *** BEST ***
   102     0.01773     0.01773     1.94456     1.4s
   103     0.05323     0.05323     7.80818     1.4s
   104     0.05271     0.05271     2.71956     1.4s
   105     0.03997     0.03996     6.08370     1.4s
   106     0.01720     0.01720     1.91074     1.4s
   107     0.01996     0.01996     2.71533     1.4s
   108     0.04758     0.04758     3.24231     1.4s
   109     0.02557     0.02557     2.21387     1.4s
   110     0.03407     0.03407     6.60188     1.4s
   111     0.05688     0.05688     4.41213     1.4s
   112     0.02886     0.02886     1.92381     1.4s
   113     0.02144     0.02144     3.23199     1.4s
   114     0.01930     0.01930     3.86057     1.4s
   115     0.01747     0.01747     3.06684     1.4s
   116     0.02453     0.02453     5.48261     1.4s
   117     0.00841     0.00841     1.58941     1.4s
   118     0.05725     0.05725     6.16764     1.4s
   119     0.02099     0.02099     4.31788     1.4s
   120     0.00923     0.00923     3.23058     1.4s
   121     0.02280     0.02280     2.46043     1.4s
   122     0.05115     0.05115     2.81444     1.4s
   123     0.01634     0.01634     3.24025     1.4s
   124     0.04260     0.04260     3.07127     1.4s
   125     0.02285     0.02285     3.14026     1.4s
   126     0.01045     0.01045     4.96320     1.4s
   127     0.03056     0.03056     3.97748     1.4s
   128     0.01151     0.01151     3.56262     1.4s
   129     0.00645     0.00645     6.14076     1.4s
   130     0.01212     0.01211     3.24632     1.4s
   131     0.02226     0.02226     4.42839     1.4s
   132     0.03048     0.03048     1.80472     1.4s
   133     0.01723     0.01723     1.59969     1.4s
   134     0.01910     0.01910     3.89509     1.4s
   135     0.02300     0.02300     1.41560     1.4s
   136     0.01480     0.01480     3.71798     1.4s
   137     0.04226     0.04226     1.82438     1.4s
   138     0.00399     0.00399     3.00507     1.4s *** BEST ***
   139     0.02127     0.02127     6.37352     1.4s
   140     0.01153     0.01153     8.40886     1.4s
   141     0.01630     0.01630     9.16421     1.4s
   142     0.03230     0.03230     3.41619     1.4s
   143     0.04045     0.04045     3.77152     1.4s
   144     0.03816     0.03816     4.73463     1.4s
   145     0.00648     0.00648     4.02435     1.4s
   146     0.07516     0.07516     4.75874     1.4s
   147     0.05377     0.05376     6.51864     1.4s
   148     0.03625     0.03625     1.92317     1.4s
   149     0.03717     0.03717     4.18373     1.4s
   150     0.05869     0.05869     2.42625     1.4s

Done. Best: 0.00399 at epoch 138
