This job can be monitored from: https://job.c3se.chalmers.se/alvis/6415895
============================================================
Real Data Fine-tuning — 2026-04-15 17:42:03
LR=1e-05  WD=0.0001  epochs=250  smooth_lambda=1e-07
Slice fractions: [0.25, 0.375, 0.5, 0.625]  →  8 cases × 4 positions = 32 effective samples
Train: ['copd01', 'copd02', 'copd03', 'copd04', 'copd05', 'copd06', 'copd07', 'copd08']
Test:  ['copd09', 'copd10']
============================================================
Device: cuda
Real DVF stats: mean=1.2394 mm, std=15.0029 mm

=== Loading training cases ===
  copd01  mean_mag=9.265 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd02  mean_mag=5.116 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd03  mean_mag=3.931 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd04  mean_mag=10.140 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd05  mean_mag=11.287 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd06  mean_mag=7.941 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd07  mean_mag=6.433 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd08  mean_mag=8.776 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
Total dataset size: 32 (8 cases × 4 positions)
Train batches per epoch: 40
Resumed from epoch 150 | Best: 0.00671

 Epoch       Train         MSE      Smooth      Time
-------------------------------------------------------
   151     0.03155     0.03155     2.55971     1.9s
   152     0.03773     0.03773     3.24483     1.4s
   153     0.04167     0.04167     1.87107     1.4s
   154     0.01827     0.01827     1.56360     1.4s
   155     0.00641     0.00641     1.24016     1.4s *** BEST ***
   156     0.04179     0.04179     2.07763     1.4s
   157     0.01362     0.01362     3.26345     1.4s
   158     0.02025     0.02025     4.14283     1.4s
   159     0.02164     0.02164     2.01418     1.4s
   160     0.01028     0.01028     6.58122     1.4s
   161     0.01775     0.01775     5.73254     1.4s
   162     0.05602     0.05602     5.53040     1.4s
   163     0.02130     0.02130     1.49649     1.4s
   164     0.03103     0.03103     3.39788     1.4s
   165     0.04739     0.04739     4.10565     1.4s
   166     0.01237     0.01237     5.48066     1.4s
   167     0.05276     0.05276     3.42316     1.4s
   168     0.01769     0.01769     5.63572     1.4s
   169     0.02243     0.02243     2.66324     1.4s
   170     0.01796     0.01796     2.74273     1.4s
   171     0.05085     0.05085     3.34336     1.4s
   172     0.01164     0.01164     3.03600     1.4s
   173     0.01618     0.01618     5.92881     1.4s
   174     0.02527     0.02526     4.76329     1.4s
   175     0.00908     0.00908     2.54531     1.4s
   176     0.02046     0.02046     1.50561     1.4s
   177     0.03535     0.03535     1.23392     1.4s
   178     0.01576     0.01576     3.17883     1.4s
   179     0.04077     0.04077     3.16956     1.4s
   180     0.02605     0.02605     1.65220     1.4s
   181     0.03575     0.03575     3.58449     1.4s
   182     0.01622     0.01622     3.64705     1.4s
   183     0.04208     0.04208     3.82831     1.4s
   184     0.01614     0.01614     4.00219     1.4s
   185     0.03563     0.03563     1.43155     1.4s
   186     0.04284     0.04284     3.33768     1.4s
   187     0.03395     0.03395     0.98476     1.4s
   188     0.02177     0.02177     8.33045     1.4s
   189     0.01937     0.01937     4.42392     1.4s
