This job can be monitored from: https://job.c3se.chalmers.se/alvis/6415949
============================================================
Real Data Fine-tuning — 2026-04-15 18:10:47
LR=1e-05  WD=0.0001  epochs=100  smooth_lambda=1e-07
Slice fractions: [0.25, 0.375, 0.5, 0.625]  →  8 cases × 4 positions = 32 effective samples
Train: ['copd01', 'copd02', 'copd03', 'copd04', 'copd05', 'copd06', 'copd07', 'copd08']
Test:  ['copd09', 'copd10']
============================================================
Device: cuda
Real DVF stats: mean=1.2394 mm, std=15.0029 mm

=== Loading training cases ===
  copd01  mean_mag=9.265 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd02  mean_mag=5.116 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd03  mean_mag=3.931 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd04  mean_mag=10.140 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd05  mean_mag=11.287 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd06  mean_mag=7.941 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd07  mean_mag=6.433 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
  copd08  mean_mag=8.776 mm  coronal H=[32, 48, 64, 80]  sagittal W=[32, 48, 64, 80]
Total dataset size: 32 (8 cases × 4 positions)
Train batches per epoch: 40
Loaded pretrained: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth

 Epoch       Train         MSE      Smooth      Time
-------------------------------------------------------
     1     0.18354     0.18354     1.77348     1.9s *** BEST ***
     2     0.49661     0.49660     4.49808     1.4s
     3     0.11505     0.11505     5.67826     1.4s *** BEST ***
     4     0.22032     0.22032     2.36388     1.4s
     5     0.08680     0.08680     2.22568     1.4s *** BEST ***
     6     0.07736     0.07736     2.91171     1.4s *** BEST ***
     7     0.05090     0.05090     1.55587     1.4s *** BEST ***
     8     0.02068     0.02068     2.96105     1.4s *** BEST ***
     9     0.09530     0.09530     3.56926     1.4s
    10     0.14230     0.14230     2.11636     1.4s
    11     0.07370     0.07370     6.21521     1.4s
    12     0.12081     0.12081     5.32165     1.4s
    13     0.06333     0.06333     1.45690     1.4s
    14     0.03774     0.03774     2.17396     1.4s
    15     0.04964     0.04964     6.48125     1.4s
    16     0.08762     0.08762     4.13473     1.4s
    17     0.00999     0.00999     5.76401     1.4s *** BEST ***
    18     0.04018     0.04018     3.15587     1.4s
    19     0.05395     0.05395     1.24013     1.4s
    20     0.03904     0.03904     3.02663     1.4s
    21     0.01386     0.01386     4.22373     1.4s
    22     0.02384     0.02384     3.93775     1.4s
    23     0.05627     0.05627     1.79148     1.4s
    24     0.08578     0.08578     2.89167     1.4s
    25     0.07387     0.07387     3.77130     1.4s
    26     0.10963     0.10963     3.54097     1.4s
    27     0.02344     0.02344     3.02957     1.4s
    28     0.02866     0.02866     5.73032     1.4s
    29     0.05273     0.05273     2.20082     1.4s
    30     0.07953     0.07953     2.72430     1.4s
    31     0.01740     0.01740     6.09978     1.4s
    32     0.01498     0.01498     2.64863     1.4s
    33     0.01442     0.01442     2.55766     1.4s
    34     0.02006     0.02006     4.59356     1.4s
    35     0.01452     0.01452     2.62518     1.4s
    36     0.03725     0.03725     4.90025     1.4s
    37     0.01945     0.01945     2.57004     1.4s
    38     0.01715     0.01715     1.84205     1.4s
    39     0.07419     0.07419     2.39873     1.4s
    40     0.03431     0.03431     6.42014     1.4s
    41     0.03309     0.03309     4.00673     1.4s
    42     0.03311     0.03311     3.46544     1.4s
    43     0.02112     0.02112     1.90872     1.4s
    44     0.01208     0.01208     4.04353     1.4s
    45     0.04276     0.04276     4.28556     1.4s
    46     0.05396     0.05396     4.98229     1.4s
    47     0.03331     0.03331     2.21140     1.4s
    48     0.03183     0.03182     5.17279     1.4s
    49     0.03093     0.03093     3.15393     1.4s
    50     0.07041     0.07041     2.86412     1.4s
    51     0.05791     0.05791     5.49130     1.4s
    52     0.02393     0.02393     3.71339     1.4s
    53     0.03211     0.03211     1.96759     1.4s
    54     0.00809     0.00809     8.49405     1.4s *** BEST ***
    55     0.05739     0.05739     4.38912     1.4s
    56     0.02807     0.02807     5.55929     1.4s
    57     0.03653     0.03653     0.61546     1.4s
    58     0.02265     0.02265     4.13488     1.4s
    59     0.03718     0.03718     4.59764     1.4s
    60     0.02920     0.02920     7.11706     1.4s
    61     0.02529     0.02529     3.18279     1.4s
    62     0.01522     0.01522     5.42234     1.4s
    63     0.02095     0.02095     4.64287     1.4s
    64     0.05007     0.05007     4.01450     1.4s
    65     0.00813     0.00813     3.68787     1.4s
    66     0.00728     0.00728     3.99865     1.4s *** BEST ***
    67     0.08034     0.08034     3.11978     1.4s
    68     0.02002     0.02002     4.51856     1.4s
    69     0.04206     0.04205     5.79057     1.4s
    70     0.04004     0.04004     1.95241     1.4s
    71     0.02790     0.02790     0.97404     1.4s
    72     0.04523     0.04523     5.96886     1.4s
    73     0.05967     0.05967     5.84492     1.4s
    74     0.01731     0.01731     2.81581     1.4s
    75     0.02838     0.02838     4.21400     1.4s
    76     0.02029     0.02029     3.49234     1.4s
    77     0.01279     0.01279     3.38191     1.4s
    78     0.01468     0.01468     3.50835     1.4s
    79     0.01167     0.01167     2.89993     1.4s
    80     0.01207     0.01207     8.85802     1.4s
    81     0.01154     0.01154     4.00640     1.4s
    82     0.04698     0.04698     2.35218     1.4s
    83     0.04647     0.04647     5.29182     1.4s
    84     0.06065     0.06065     3.85684     1.4s
    85     0.04211     0.04211     7.54134     1.4s
    86     0.05335     0.05335     3.26522     1.4s
    87     0.01557     0.01557     2.98993     1.4s
    88     0.01390     0.01390     2.94607     1.4s
    89     0.02597     0.02597     6.13021     1.4s
    90     0.05489     0.05489     1.10014     1.4s
    91     0.02429     0.02429     3.37080     1.4s
    92     0.00854     0.00854     4.14209     1.4s
    93     0.01311     0.01311     2.92958     1.4s
    94     0.03506     0.03506     3.67846     1.4s
    95     0.02307     0.02307     4.72006     1.4s
    96     0.04798     0.04798     0.99711     1.4s
